counter	time	name	value
1-8	8	Osha	565
1-10	10	Osha	699
2-1	11	Osha	783
2-5	15	Osha	936
2-6	16	Osha	1497
2-7	17	Osha	1558
2-8	18	Osha	1624
2-10	20	Osha	1863
3-2	22	Osha	2136
3-6	26	Osha	2317
3-7	27	Osha	2555
3-9	29	Osha	2970
6-3	53	Osha	3046
6-4	54	Osha	3248
1-6	6	Stiv	207
1-6	6	Wallen	207
1-6	6	Dothraki Crone	211
1-6	6	Rhaego	211
1-10	10	Rhaego	324
2-10	20	Rhaego	484
1-6	6	Beric Dondarrion	245
3-4	24	Beric Dondarrion	459
3-5	25	Beric Dondarrion	840
3-6	26	Beric Dondarrion	1185
3-7	27	Beric Dondarrion	1291
6-8	58	Beric Dondarrion	1573
7-1	61	Beric Dondarrion	1955
7-5	65	Beric Dondarrion	2158
7-6	66	Beric Dondarrion	3977
7-7	67	Beric Dondarrion	4067
8-1	68	Beric Dondarrion	4291
8-2	69	Beric Dondarrion	4628
8-3	70	Beric Dondarrion	5095
8-4	71	Beric Dondarrion	5171
1-6	6	Joss	245
5-6	46	Joss	344
1-7	7	Tywin Lannister	283
1-8	8	Tywin Lannister	481
1-9	9	Tywin Lannister	688
1-10	10	Tywin Lannister	882
2-4	14	Tywin Lannister	977
2-5	15	Tywin Lannister	1167
2-6	16	Tywin Lannister	1603
2-7	17	Tywin Lannister	1966
2-8	18	Tywin Lannister	2078
2-9	19	Tywin Lannister	2097
2-10	20	Tywin Lannister	2160
3-1	21	Tywin Lannister	2457
3-3	23	Tywin Lannister	2701
3-4	24	Tywin Lannister	2868
3-5	25	Tywin Lannister	3086
3-6	26	Tywin Lannister	3311
3-7	27	Tywin Lannister	3519
3-8	28	Tywin Lannister	3954
3-10	30	Tywin Lannister	4378
4-1	31	Tywin Lannister	4651
4-2	32	Tywin Lannister	5674
4-3	33	Tywin Lannister	6209
4-5	35	Tywin Lannister	6580
4-6	36	Tywin Lannister	7828
4-8	38	Tywin Lannister	8128
4-10	40	Tywin Lannister	8479
5-1	41	Tywin Lannister	8615
1-7	7	Armeca	304
2-1	11	Armeca	329
2-2	12	Armeca	384
2-9	19	Armeca	629
1-7	7	Little Bird	33
4-8	38	Little Bird	78
1-7	7	Wine Merchant	431
1-7	7	Othell Yarwyck	458
1-8	8	Othell Yarwyck	534
4-1	31	Othell Yarwyck	710
4-3	33	Othell Yarwyck	789
4-7	37	Othell Yarwyck	907
5-2	42	Othell Yarwyck	1209
5-5	45	Othell Yarwyck	1300
5-7	47	Othell Yarwyck	1435
5-9	49	Othell Yarwyck	1500
5-10	50	Othell Yarwyck	1615
6-1	51	Othell Yarwyck	1834
6-2	52	Othell Yarwyck	1916
6-3	53	Othell Yarwyck	2101
1-7	7	Jaremy Rykker	330
1-7	7	Tomard	210
1-7	7	Varly	20
1-8	8	Vayon Poole	15
1-8	8	Meryn Trant	523
1-10	10	Meryn Trant	848
2-1	11	Meryn Trant	1109
2-4	14	Meryn Trant	1281
2-6	16	Meryn Trant	1507
3-1	21	Meryn Trant	1582
4-1	31	Meryn Trant	1697
4-2	32	Meryn Trant	1852
4-3	33	Meryn Trant	1864
4-6	36	Meryn Trant	1912
5-1	41	Meryn Trant	1971
5-2	42	Meryn Trant	2006
5-3	43	Meryn Trant	2191
5-4	44	Meryn Trant	2218
5-9	49	Meryn Trant	2594
5-10	50	Meryn Trant	2789
1-8	8	Red Keep Stableboy	37
1-8	8	Othor	162
1-8	8	Jafer Flowers	76
1-8	8	Shagga	442
1-9	9	Shagga	490
1-8	8	Mirri Maz Duur	379
1-9	9	Mirri Maz Duur	844
1-10	10	Mirri Maz Duur	1401
1-8	8	Mago	379
1-8	8	Greatjon Umber	333
1-9	9	Greatjon Umber	665
1-10	10	Greatjon Umber	801
1-8	8	Timett	271
1-9	9	Timett	319
2-3	13	Timett	447
1-8	8	Kevan Lannister	198
1-9	9	Kevan Lannister	306
1-10	10	Kevan Lannister	382
2-8	18	Kevan Lannister	489
5-1	41	Kevan Lannister	530
5-2	42	Kevan Lannister	708
5-10	50	Kevan Lannister	778
6-3	53	Kevan Lannister	907
6-4	54	Kevan Lannister	1063
6-6	56	Kevan Lannister	1126
6-8	58	Kevan Lannister	1289
6-10	60	Kevan Lannister	1640
1-8	8	Chella	198
1-9	9	Chella	246
1-8	8	Lannister Messenger	198
1-8	8	Lannister Scout	135
1-9	9	Walder Frey	209
3-9	29	Walder Frey	1074
3-10	30	Walder Frey	1214
6-6	56	Walder Frey	1354
6-10	60	Walder Frey	1646
7-1	61	Walder Frey	1836
1-9	9	Joyeuse Erenford	96
3-9	29	Joyeuse Erenford	693
1-9	9	Stevron Frey	96
1-9	9	Ryger Rivers	96
1-9	9	Shae	648
1-10	10	Shae	732
2-1	11	Shae	831
2-2	12	Shae	981
2-3	13	Shae	1214
2-6	16	Shae	1267
2-7	17	Shae	1349
2-8	18	Shae	1438
2-9	19	Shae	1943
2-10	20	Shae	2144
3-1	21	Shae	2311
3-2	22	Shae	2603
3-6	26	Shae	2729
3-7	27	Shae	2864
3-8	28	Shae	2997
3-10	30	Shae	3275
4-1	31	Shae	3461
4-2	32	Shae	3630
4-6	36	Shae	4009
4-10	40	Shae	4159
1-9	9	King's Landing Baker	58
1-9	9	Street Urchin	58
1-10	10	Rickard Karstark	136
2-7	17	Rickard Karstark	272
2-8	18	Rickard Karstark	373
3-1	21	Rickard Karstark	501
3-2	22	Rickard Karstark	567
3-5	25	Rickard Karstark	785
1-10	10	Jonos Bracken	136
1-10	10	Leo Lefford	76
1-10	10	Addam Marbrand	76
1-10	10	Hot Pie	135
2-1	11	Hot Pie	164
2-2	12	Hot Pie	252
2-3	13	Hot Pie	454
2-4	14	Hot Pie	786
2-5	15	Hot Pie	859
2-8	18	Hot Pie	972
2-10	20	Hot Pie	1001
3-2	22	Hot Pie	1411
3-3	23	Hot Pie	1525
4-7	37	Hot Pie	1736
7-2	62	Hot Pie	1892
1-10	10	Lommy Greenhands	135
2-1	11	Lommy Greenhands	164
2-2	12	Lommy Greenhands	252
2-3	13	Lommy Greenhands	454
2-1	11	Dontos Hollard	222
2-9	19	Dontos Hollard	243
4-1	31	Dontos Hollard	335
4-2	32	Dontos Hollard	429
4-3	33	Dontos Hollard	638
2-1	11	Lord Portan	116
2-1	11	Northern Lord	116
2-1	11	Aggo	185
2-1	11	Kovarro	185
2-4	14	Kovarro	250
2-5	15	Kovarro	295
2-6	16	Kovarro	669
2-7	17	Kovarro	832
2-8	18	Kovarro	854
2-10	20	Kovarro	1082
2-1	11	Eddison Tollett	103
2-2	12	Eddison Tollett	192
2-5	15	Eddison Tollett	518
2-8	18	Eddison Tollett	661
2-10	20	Eddison Tollett	764
3-1	21	Eddison Tollett	822
3-2	22	Eddison Tollett	931
3-3	23	Eddison Tollett	1084
3-4	24	Eddison Tollett	1389
4-3	33	Eddison Tollett	1472
4-4	34	Eddison Tollett	1626
4-5	35	Eddison Tollett	1847
4-7	37	Eddison Tollett	2017
4-8	38	Eddison Tollett	2128
4-9	39	Eddison Tollett	2456
4-10	40	Eddison Tollett	2564
5-1	41	Eddison Tollett	2797
5-2	42	Eddison Tollett	3030
5-3	43	Eddison Tollett	3316
5-4	44	Eddison Tollett	3349
5-5	45	Eddison Tollett	3490
5-7	47	Eddison Tollett	3625
5-8	48	Eddison Tollett	4481
5-9	49	Eddison Tollett	4639
6-1	51	Eddison Tollett	4812
6-2	52	Eddison Tollett	5225
6-3	53	Eddison Tollett	5606
6-4	54	Eddison Tollett	5947
6-5	55	Eddison Tollett	6155
7-1	61	Eddison Tollett	6242
8-1	68	Eddison Tollett	6350
8-2	69	Eddison Tollett	6512
8-3	70	Eddison Tollett	6593
8-4	71	Eddison Tollett	6667
2-1	11	Craster	239
2-2	12	Craster	371
2-3	13	Craster	408
3-3	23	Craster	561
3-4	24	Craster	751
2-1	11	Gilly	239
2-2	12	Gilly	408
2-3	13	Gilly	497
3-3	23	Gilly	532
3-4	24	Gilly	623
3-6	26	Gilly	822
3-8	28	Gilly	1213
3-9	29	Gilly	1311
3-10	30	Gilly	1726
4-3	33	Gilly	2048
4-8	38	Gilly	2206
4-9	39	Gilly	2446
5-1	41	Gilly	2672
5-2	42	Gilly	2824
5-5	45	Gilly	2977
5-7	47	Gilly	3549
5-8	48	Gilly	3628
5-10	50	Gilly	3657
6-3	53	Gilly	3886
6-6	56	Gilly	4684
6-10	60	Gilly	4857
7-1	61	Gilly	4937
7-5	65	Gilly	5087
7-7	67	Gilly	5094
8-2	69	Gilly	5209
8-3	70	Gilly	5534
8-4	71	Gilly	5830
2-1	11	Melisandre	373
2-2	12	Melisandre	607
2-4	14	Melisandre	1024
2-10	20	Melisandre	1238
3-1	21	Melisandre	1400
3-3	23	Melisandre	1514
3-6	26	Melisandre	1936
3-7	27	Melisandre	2034
3-8	28	Melisandre	2553
3-10	30	Melisandre	2875
4-2	32	Melisandre	3131
4-7	37	Melisandre	3368
4-10	40	Melisandre	3430
5-1	41	Melisandre	3861
5-4	44	Melisandre	4113
5-5	45	Melisandre	4163
5-7	47	Melisandre	4375
5-9	49	Melisandre	4617
5-10	50	Melisandre	4762
6-1	51	Melisandre	4986
6-2	52	Melisandre	5421
6-3	53	Melisandre	5687
6-4	54	Melisandre	5786
6-5	55	Melisandre	5993
6-6	56	Melisandre	6000
6-9	59	Melisandre	6145
6-10	60	Melisandre	6414
7-2	62	Melisandre	6609
7-3	63	Melisandre	6720
8-3	70	Melisandre	7223
2-1	11	Maester Cressen	432
2-1	11	Davos Seaworth	432
2-2	12	Davos Seaworth	765
2-4	14	Davos Seaworth	1295
2-5	15	Davos Seaworth	1458
2-8	18	Davos Seaworth	1634
2-9	19	Davos Seaworth	1879
3-1	21	Davos Seaworth	2341
3-5	25	Davos Seaworth	2433
3-8	28	Davos Seaworth	2787
3-10	30	Davos Seaworth	3515
4-2	32	Davos Seaworth	3607
4-3	33	Davos Seaworth	3844
4-6	36	Davos Seaworth	4318
4-10	40	Davos Seaworth	4536
5-1	41	Davos Seaworth	4880
5-2	42	Davos Seaworth	5021
5-3	43	Davos Seaworth	5281
5-5	45	Davos Seaworth	5493
5-7	47	Davos Seaworth	5619
5-9	49	Davos Seaworth	5919
5-10	50	Davos Seaworth	5988
6-1	51	Davos Seaworth	6401
6-2	52	Davos Seaworth	7030
6-3	53	Davos Seaworth	7555
6-4	54	Davos Seaworth	7654
6-5	55	Davos Seaworth	7805
6-7	57	Davos Seaworth	8550
6-9	59	Davos Seaworth	9592
6-10	60	Davos Seaworth	10089
7-1	61	Davos Seaworth	10389
7-2	62	Davos Seaworth	10719
7-3	63	Davos Seaworth	11567
7-4	64	Davos Seaworth	12017
7-5	65	Davos Seaworth	13007
7-6	66	Davos Seaworth	13060
7-7	67	Davos Seaworth	14506
8-1	68	Davos Seaworth	14811
8-2	69	Davos Seaworth	15817
8-3	70	Davos Seaworth	16067
8-4	71	Davos Seaworth	16766
8-5	72	Davos Seaworth	17012
8-6	73	Davos Seaworth	18185
2-1	11	Matthos Seaworth	373
2-2	12	Matthos Seaworth	706
2-8	18	Matthos Seaworth	731
2-9	19	Matthos Seaworth	929
2-1	11	Stannis Baratheon	373
2-2	12	Stannis Baratheon	607
2-4	14	Stannis Baratheon	913
2-5	15	Stannis Baratheon	1076
2-8	18	Stannis Baratheon	1252
2-9	19	Stannis Baratheon	1418
2-10	20	Stannis Baratheon	1632
3-1	21	Stannis Baratheon	1794
3-3	23	Stannis Baratheon	1908
3-5	25	Stannis Baratheon	2180
3-8	28	Stannis Baratheon	2571
3-10	30	Stannis Baratheon	2893
4-2	32	Stannis Baratheon	3072
4-3	33	Stannis Baratheon	3182
4-6	36	Stannis Baratheon	3537
4-10	40	Stannis Baratheon	3771
5-1	41	Stannis Baratheon	4150
5-2	42	Stannis Baratheon	4291
5-3	43	Stannis Baratheon	4561
5-4	44	Stannis Baratheon	4840
5-5	45	Stannis Baratheon	5175
5-7	47	Stannis Baratheon	5387
5-9	49	Stannis Baratheon	5910
5-10	50	Stannis Baratheon	6345
2-1	11	Selyse Baratheon	189
3-5	25	Selyse Baratheon	391
4-2	32	Selyse Baratheon	561
4-7	37	Selyse Baratheon	798
4-10	40	Selyse Baratheon	860
5-1	41	Selyse Baratheon	965
5-2	42	Selyse Baratheon	1007
5-4	44	Selyse Baratheon	1056
5-5	45	Selyse Baratheon	1106
5-9	49	Selyse Baratheon	1317
5-10	50	Selyse Baratheon	1383
2-1	11	Alton Lannister	92
2-2	12	Alton Lannister	141
2-7	17	Alton Lannister	600
2-1	11	Daisy	150
2-3	13	Daisy	278
2-4	14	Daisy	474
2-1	11	Barra	125
2-2	12	Jaqen H'ghar	85
2-3	13	Jaqen H'ghar	204
2-5	15	Jaqen H'ghar	434
2-6	16	Jaqen H'ghar	463
2-8	18	Jaqen H'ghar	585
2-10	20	Jaqen H'ghar	758
5-2	42	Jaqen H'ghar	825
5-3	43	Jaqen H'ghar	1077
5-6	46	Jaqen H'ghar	1400
5-8	48	Jaqen H'ghar	1556
5-9	49	Jaqen H'ghar	1610
5-10	50	Jaqen H'ghar	1743
6-2	52	Jaqen H'ghar	1808
6-3	53	Jaqen H'ghar	1941
6-5	55	Jaqen H'ghar	2121
6-6	56	Jaqen H'ghar	2164
6-8	58	Jaqen H'ghar	2292
2-2	12	Rorge	85
2-8	18	Rorge	127
4-7	37	Rorge	182
2-2	12	Biter	85
2-8	18	Biter	127
4-7	37	Biter	134
2-2	12	Goldcloak	133
2-2	12	Captain's Daughter	119
2-2	12	Brothel Customer	55
5-4	44	Brothel Customer	140
2-2	12	Podrick Payne	15
2-8	18	Podrick Payne	88
2-9	19	Podrick Payne	575
2-10	20	Podrick Payne	738
3-1	21	Podrick Payne	865
3-3	23	Podrick Payne	1109
3-5	25	Podrick Payne	1151
3-8	28	Podrick Payne	1212
3-10	30	Podrick Payne	1249
4-1	31	Podrick Payne	1425
4-2	32	Podrick Payne	1992
4-3	33	Podrick Payne	2306
4-4	34	Podrick Payne	2437
4-5	35	Podrick Payne	2686
4-7	37	Podrick Payne	3001
4-10	40	Podrick Payne	3305
5-1	41	Podrick Payne	3397
5-2	42	Podrick Payne	3676
5-3	43	Podrick Payne	4015
5-5	45	Podrick Payne	4151
5-10	50	Podrick Payne	4217
6-1	51	Podrick Payne	4417
6-2	52	Podrick Payne	4553
6-4	54	Podrick Payne	4859
6-5	55	Podrick Payne	4880
6-8	58	Podrick Payne	5268
7-1	61	Podrick Payne	5609
7-4	64	Podrick Payne	5852
7-7	67	Podrick Payne	6068
8-1	68	Podrick Payne	6159
8-2	69	Podrick Payne	6653
8-3	70	Podrick Payne	6918
8-4	71	Podrick Payne	7436
8-6	73	Podrick Payne	7470
2-2	12	Lordsport Dockhand	79
2-2	12	Yara Greyjoy	188
2-3	13	Yara Greyjoy	527
2-5	15	Yara Greyjoy	648
2-8	18	Yara Greyjoy	886
3-10	30	Yara Greyjoy	1075
4-6	36	Yara Greyjoy	1336
6-2	52	Yara Greyjoy	1676
6-4	54	Yara Greyjoy	1829
6-5	55	Yara Greyjoy	2195
6-7	57	Yara Greyjoy	2392
6-9	59	Yara Greyjoy	2636
6-10	60	Yara Greyjoy	2729
7-2	62	Yara Greyjoy	3247
7-3	63	Yara Greyjoy	3485
8-1	68	Yara Greyjoy	3684
8-6	73	Yara Greyjoy	4435
2-2	12	Balon Greyjoy	251
2-3	13	Balon Greyjoy	567
3-10	30	Balon Greyjoy	730
6-2	52	Balon Greyjoy	1070
2-2	12	Salladhor Saan	192
3-1	21	Salladhor Saan	365
4-6	36	Salladhor Saan	510
2-3	13	Margaery Tyrell	441
2-4	14	Margaery Tyrell	554
2-5	15	Margaery Tyrell	703
2-10	20	Margaery Tyrell	976
3-1	21	Margaery Tyrell	1272
3-2	22	Margaery Tyrell	1860
3-4	24	Margaery Tyrell	2228
3-5	25	Margaery Tyrell	2274
3-7	27	Margaery Tyrell	2463
3-8	28	Margaery Tyrell	2937
4-1	31	Margaery Tyrell	3063
4-2	32	Margaery Tyrell	3977
4-3	33	Margaery Tyrell	4076
4-4	34	Margaery Tyrell	4398
4-5	35	Margaery Tyrell	4683
4-6	36	Margaery Tyrell	5430
5-1	41	Margaery Tyrell	5631
5-3	43	Margaery Tyrell	5954
5-4	44	Margaery Tyrell	6071
5-6	46	Margaery Tyrell	6372
5-7	47	Margaery Tyrell	6521
6-1	51	Margaery Tyrell	6645
6-4	54	Margaery Tyrell	7041
6-6	56	Margaery Tyrell	7497
6-7	57	Margaery Tyrell	7803
6-10	60	Margaery Tyrell	8298
2-3	13	Brienne of Tarth	329
2-4	14	Brienne of Tarth	630
2-5	15	Brienne of Tarth	1021
2-6	16	Brienne of Tarth	1101
2-7	17	Brienne of Tarth	1428
2-8	18	Brienne of Tarth	1571
2-10	20	Brienne of Tarth	1869
3-2	22	Brienne of Tarth	2340
3-3	23	Brienne of Tarth	2590
3-4	24	Brienne of Tarth	2890
3-5	25	Brienne of Tarth	3404
3-6	26	Brienne of Tarth	3542
3-7	27	Brienne of Tarth	3842
3-10	30	Brienne of Tarth	3878
4-1	31	Brienne of Tarth	4015
4-2	32	Brienne of Tarth	4130
4-4	34	Brienne of Tarth	4396
4-5	35	Brienne of Tarth	4645
4-7	37	Brienne of Tarth	4960
4-10	40	Brienne of Tarth	5414
5-1	41	Brienne of Tarth	5506
5-2	42	Brienne of Tarth	5964
5-3	43	Brienne of Tarth	6303
5-5	45	Brienne of Tarth	6429
5-7	47	Brienne of Tarth	6437
5-10	50	Brienne of Tarth	6577
6-1	51	Brienne of Tarth	6777
6-2	52	Brienne of Tarth	6953
6-4	54	Brienne of Tarth	7309
6-5	55	Brienne of Tarth	7841
6-8	58	Brienne of Tarth	8326
7-1	61	Brienne of Tarth	8716
7-2	62	Brienne of Tarth	8953
7-4	64	Brienne of Tarth	9196
7-6	66	Brienne of Tarth	9301
7-7	67	Brienne of Tarth	10639
8-1	68	Brienne of Tarth	10870
8-2	69	Brienne of Tarth	11930
8-3	70	Brienne of Tarth	12256
8-4	71	Brienne of Tarth	13409
8-6	73	Brienne of Tarth	14456
2-3	13	Colen of Greenpools	248
2-3	13	Gerard	55
2-3	13	Drowned Priest	81
2-3	13	Amory Lorch	142
2-4	14	Amory Lorch	237
2-6	16	Amory Lorch	406
2-3	13	Polliver	211
2-4	14	Polliver	232
4-1	31	Polliver	711
2-4	14	Rennick	173
2-4	14	Lannister Guard	236
8-1	68	Lannister Guard	240
2-4	14	Roose Bolton	95
2-6	16	Roose Bolton	210
2-7	17	Roose Bolton	295
2-8	18	Roose Bolton	364
3-1	21	Roose Bolton	527
3-2	22	Roose Bolton	550
3-5	25	Roose Bolton	662
3-6	26	Roose Bolton	800
3-7	27	Roose Bolton	848
3-9	29	Roose Bolton	1319
3-10	30	Roose Bolton	1477
4-2	32	Roose Bolton	1830
4-8	38	Roose Bolton	2009
5-3	43	Roose Bolton	2334
5-5	45	Roose Bolton	2795
5-6	46	Roose Bolton	2910
5-8	48	Roose Bolton	2976
6-1	51	Roose Bolton	3061
6-2	52	Roose Bolton	3286
2-4	14	Talisa Maegyr	157
2-6	16	Talisa Maegyr	300
2-7	17	Talisa Maegyr	402
2-8	18	Talisa Maegyr	928
2-10	20	Talisa Maegyr	979
3-1	21	Talisa Maegyr	1084
3-2	22	Talisa Maegyr	1413
3-3	23	Talisa Maegyr	1591
3-5	25	Talisa Maegyr	1994
3-7	27	Talisa Maegyr	2302
3-9	29	Talisa Maegyr	3197
2-4	14	Wounded Lannister Soldier	50
2-4	14	Old Woman Prisoner	82
2-4	14	Tortured Prisoner	208
2-4	14	The Tickler	222
2-5	15	The Tickler	295
2-4	14	Spice King	327
2-6	16	Spice King	567
2-7	17	Spice King	702
2-4	14	Xaro Xhoan Daxos	327
2-5	15	Xaro Xhoan Daxos	581
2-6	16	Xaro Xhoan Daxos	955
2-7	17	Xaro Xhoan Daxos	1145
2-10	20	Xaro Xhoan Daxos	1242
2-4	14	Pyat Pree	327
2-5	15	Pyat Pree	408
2-7	17	Pyat Pree	571
2-10	20	Pyat Pree	707
2-4	14	Silk King	327
2-7	17	Silk King	462
2-5	15	Protestor	57
2-5	15	Black Lorren	115
2-6	16	Black Lorren	331
2-7	17	Black Lorren	391
2-10	20	Black Lorren	516
2-5	15	Dagmer Cleftjaw	194
2-6	16	Dagmer Cleftjaw	594
2-7	17	Dagmer Cleftjaw	880
2-8	18	Dagmer Cleftjaw	955
2-10	20	Dagmer Cleftjaw	1080
2-5	15	Reginald Lannister	190
2-5	15	Hallyne	181
2-9	19	Hallyne	219
2-5	15	Qartheen Woman	28
2-5	15	Quaithe	47
2-7	17	Quaithe	133
2-5	15	Winterfell Shepherd	56
2-7	17	Winterfell Shepherd	155
2-5	15	Qhorin Halfhand	166
2-6	16	Qhorin Halfhand	525
2-8	18	Qhorin Halfhand	673
2-10	20	Qhorin Halfhand	857
2-6	16	Farlen	92
2-6	16	Ygritte	545
2-7	17	Ygritte	1008
2-8	18	Ygritte	1133
2-10	20	Ygritte	1357
3-1	21	Ygritte	1621
3-2	22	Ygritte	1698
3-3	23	Ygritte	1834
3-5	25	Ygritte	2213
3-6	26	Ygritte	2858
3-7	27	Ygritte	3275
3-9	29	Ygritte	3562
3-10	30	Ygritte	3668
4-1	31	Ygritte	3873
4-3	33	Ygritte	3944
4-8	38	Ygritte	4040
4-9	39	Ygritte	4645
4-10	40	Ygritte	4718
2-6	16	High Septon	147
3-8	28	High Septon	332
4-2	32	High Septon	405
4-3	33	High Septon	450
4-5	35	High Septon	509
5-1	41	High Septon	568
5-3	43	High Septon	779
7-7	67	High Septon	809
2-6	16	King's Landing Rioter #1	65
2-7	17	King's Landing Rioter #1	77
2-6	16	King's Landing Rioter #2	65
2-7	17	King's Landing Rioter #2	77
2-6	16	King's Landing Rioter #3	65
2-7	17	King's Landing Rioter #3	77
2-6	16	Quent	36
2-6	16	Drennan	41
2-7	17	Drennan	101
2-7	17	Torrhen Karstark	459
2-7	17	Handmaid	70
3-6	26	Handmaid	74
4-1	31	Handmaid	109
6-1	51	Handmaid	121
6-10	60	Handmaid	235
2-7	17	Jacks	112
2-8	18	Rattleshirt	114
2-10	20	Rattleshirt	298
3-1	21	Rattleshirt	509
5-8	48	Rattleshirt	603
2-8	18	Stark Messenger	18
2-8	18	Mandon Moore	57
2-9	19	Mandon Moore	268
2-9	19	Singing Lannister Soldier	329
2-9	19	Captain of the Archers	122
2-10	20	Soldier Tom	203
2-10	20	Stark Soldier	203
2-10	20	Septon	51
3-9	29	Septon	208
2-10	20	Jaqen's Disguise	24
3-1	21	Man of the Nightswatch	25
3-1	21	Dongo the Giant	53
4-9	39	Dongo the Giant	219
4-10	40	Dongo the Giant	250
3-1	21	Tormund Giantsbane	288
3-2	22	Tormund Giantsbane	365
3-3	23	Tormund Giantsbane	501
3-5	25	Tormund Giantsbane	633
3-6	26	Tormund Giantsbane	1036
3-7	27	Tormund Giantsbane	1099
3-9	29	Tormund Giantsbane	1379
4-1	31	Tormund Giantsbane	1584
4-3	33	Tormund Giantsbane	1641
4-8	38	Tormund Giantsbane	1720
4-9	39	Tormund Giantsbane	2272
4-10	40	Tormund Giantsbane	2377
5-1	41	Tormund Giantsbane	2635
5-5	45	Tormund Giantsbane	2867
5-7	47	Tormund Giantsbane	3002
5-8	48	Tormund Giantsbane	4191
5-9	49	Tormund Giantsbane	4273
6-2	52	Tormund Giantsbane	4663
6-3	53	Tormund Giantsbane	4985
6-4	54	Tormund Giantsbane	5291
6-5	55	Tormund Giantsbane	5531
6-7	57	Tormund Giantsbane	5714
6-9	59	Tormund Giantsbane	6963
6-10	60	Tormund Giantsbane	7242
7-1	61	Tormund Giantsbane	7583
7-5	65	Tormund Giantsbane	7841
7-6	66	Tormund Giantsbane	9669
7-7	67	Tormund Giantsbane	9759
8-1	68	Tormund Giantsbane	9983
8-2	69	Tormund Giantsbane	10640
8-3	70	Tormund Giantsbane	10957
8-4	71	Tormund Giantsbane	11500
8-6	73	Tormund Giantsbane	11673
3-1	21	Mance Rayder	288
3-2	22	Mance Rayder	431
3-3	23	Mance Rayder	567
4-10	40	Mance Rayder	1145
5-1	41	Mance Rayder	1695
3-1	21	Mirelle	62
3-1	21	Boat Commander	41
3-1	21	Qyburn	105
3-5	25	Qyburn	204
3-7	27	Qyburn	659
3-10	30	Qyburn	695
4-1	31	Qyburn	760
4-10	40	Qyburn	888
5-2	42	Qyburn	1101
5-3	43	Qyburn	1252
5-4	44	Qyburn	1346
5-8	48	Qyburn	1513
5-10	50	Qyburn	1583
6-3	53	Qyburn	1747
6-8	58	Qyburn	2099
6-10	60	Qyburn	2384
7-1	61	Qyburn	2621
7-2	62	Qyburn	2826
7-3	63	Qyburn	3259
7-5	65	Qyburn	3286
7-7	67	Qyburn	4225
8-1	68	Qyburn	4543
8-4	71	Qyburn	5010
8-5	72	Qyburn	5243
3-1	21	Margaery's Handmaiden	122
3-1	21	Orphan Kid	77
3-1	21	Kraznys mo Nakloz	245
3-3	23	Kraznys mo Nakloz	421
3-4	24	Kraznys mo Nakloz	653
3-1	21	Missandei	245
3-3	23	Missandei	486
3-4	24	Missandei	808
3-5	25	Missandei	911
3-7	27	Missandei	1136
3-8	28	Missandei	1543
3-9	29	Missandei	1613
3-10	30	Missandei	1880
4-1	31	Missandei	2082
4-3	33	Missandei	2499
4-4	34	Missandei	2650
4-5	35	Missandei	2771
4-6	36	Missandei	3082
4-8	38	Missandei	3556
4-10	40	Missandei	3822
5-1	41	Missandei	4028
5-2	42	Missandei	4454
5-4	44	Missandei	4492
5-5	45	Missandei	4716
5-8	48	Missandei	5006
5-9	49	Missandei	5950
5-10	50	Missandei	6170
6-2	52	Missandei	6309
6-3	53	Missandei	6512
6-4	54	Missandei	6936
6-5	55	Missandei	7005
6-8	58	Missandei	7338
6-9	59	Missandei	7599
6-10	60	Missandei	7619
7-1	61	Missandei	7844
7-2	62	Missandei	8809
7-3	63	Missandei	9772
7-4	64	Missandei	10237
7-7	67	Missandei	11659
8-1	68	Missandei	11739
8-2	69	Missandei	12316
8-3	70	Missandei	12641
8-4	71	Missandei	13697
3-1	21	Unsullied	245
3-1	21	Warlock	108
3-2	22	Jojen Reed	238
3-4	24	Jojen Reed	301
3-6	26	Jojen Reed	482
3-7	27	Jojen Reed	720
3-9	29	Jojen Reed	1149
3-10	30	Jojen Reed	1563
4-2	32	Jojen Reed	1710
4-4	34	Jojen Reed	1986
4-5	35	Jojen Reed	2381
4-10	40	Jojen Reed	2701
3-2	22	Master Torturer	125
3-3	23	Master Torturer	342
3-2	22	Riverlands Traveller	119
3-2	22	King's Landing Tailor	41
3-2	22	Olenna Tyrell	276
3-4	24	Olenna Tyrell	679
3-5	25	Olenna Tyrell	822
3-6	26	Olenna Tyrell	1047
3-8	28	Olenna Tyrell	1300
4-1	31	Olenna Tyrell	1390
4-2	32	Olenna Tyrell	2239
4-3	33	Olenna Tyrell	2338
4-4	34	Olenna Tyrell	2482
5-6	46	Olenna Tyrell	2937
5-7	47	Olenna Tyrell	3261
6-3	53	Olenna Tyrell	3390
6-4	54	Olenna Tyrell	3546
6-6	56	Olenna Tyrell	3768
6-7	57	Olenna Tyrell	4050
6-10	60	Olenna Tyrell	4147
7-2	62	Olenna Tyrell	4401
7-3	63	Olenna Tyrell	4755
3-2	22	Tyrell Servant	29
3-2	22	Orell	77
3-3	23	Orell	213
3-5	25	Orell	345
3-6	26	Orell	625
3-7	27	Orell	757
3-9	29	Orell	1050
3-2	22	Meera Reed	171
3-6	26	Meera Reed	352
3-7	27	Meera Reed	590
3-9	29	Meera Reed	996
3-10	30	Meera Reed	1410
4-2	32	Meera Reed	1557
4-4	34	Meera Reed	1833
4-5	35	Meera Reed	2202
